"product_id","sku","name","price","color","product_type","product_image"
"6618","AU-01-N01-805-16","Oceanic Blossom Necklace","499.0000","Multi-Color","Necklaces","//d1jbf5z8givhnm.cloudfront.net/media/catalog/product/A/U/AU-01-N01-805-16_1.jpg"
"6641","AU-02-N01-1102-16","Crystal Rock Choker Necklace","399.0000","Black","Necklaces","//d1jbf5z8givhnm.cloudfront.net/media/catalog/product/c/r/crystal_rock_choker_necklace_1.jpg"
"6643","AU-02-N01-1104-16","Pearl Link Gold Choker Necklace","399.0000","Black","Necklaces","//d1jbf5z8givhnm.cloudfront.net/media/catalog/product/d/s/dsc_6950.jpg"
"6647","N01P1157","India Map Cut-Out Pendant","1300.0000","Cyan","Personalized Jewelry","//d1jbf5z8givhnm.cloudfront.net/media/catalog/product/i/n/india_map_cut-out_pendant.jpg"
"6648","N01P1158","Silver India Map Cut-Out Pendant","1300.0000","Cyan","Personalized Jewelry","//d1jbf5z8givhnm.cloudfront.net/media/catalog/product/s/i/silver_india_map_cut-out_pendant.jpg"
"6737","FE-02-B01-101-16","Floral Hanger Hair Pin","599.0000","Cyan","Body Jewelry","//d1jbf5z8givhnm.cloudfront.net/media/catalog/product/i/m/img_8367.jpg"
"6741","NV-01-C01-226-15","Believe","249.0000","Gold","Charms","//d1jbf5z8givhnm.cloudfront.net/media/catalog/product/N/V/NV-01-C01-226-15_1_1.jpg"
"6745","NPCH01","Medula Cursive Pendant","1400.0000","Gold","Personalized Jewelry","//d1jbf5z8givhnm.cloudfront.net/media/catalog/product/m/e/medula_cursive_pendant.jpg"
"6746","NPCH02","Grand Cursive English Pendant","1400.0000","Gold","Personalized Jewelry","//d1jbf5z8givhnm.cloudfront.net/media/catalog/product/g/r/grand_cursive_english_pendant.jpg"
"6747","NPCH03","Dual Infinity Style Pendant","1400.0000","Gold","Personalized Jewelry","//d1jbf5z8givhnm.cloudfront.net/media/catalog/product/d/u/dual_infinity_style_pendant.jpg"
"6748","NPCH04","Indi Script Pendant","1400.0000","Gold","Personalized Jewelry","//d1jbf5z8givhnm.cloudfront.net/media/catalog/product/i/n/indi_script_pendant_3.jpg"
